"Year","Month","SpeciesAuthor","MatrixPopulation","tmp","ppt","Lon","Lat"
1981,1,"Astragalus_scaphoides_2","Haynes Creek",-2.79999995231628,4.84000015258789,-113.702,45.005
1981,2,"Astragalus_scaphoides_2","Haynes Creek",-1.72500002384186,27.5200004577637,-113.702,45.005
1981,3,"Astragalus_scaphoides_2","Haynes Creek",2.34000015258789,23.1800003051758,-113.702,45.005
1981,4,"Astragalus_scaphoides_2","Haynes Creek",5.63499975204468,30.4500007629395,-113.702,45.005
1981,5,"Astragalus_scaphoides_2","Haynes Creek",9.64999961853027,92.7900009155273,-113.702,45.005
1981,6,"Astragalus_scaphoides_2","Haynes Creek",13.3850002288818,48.9099998474121,-113.702,45.005
1981,7,"Astragalus_scaphoides_2","Haynes Creek",18.7849998474121,8.53999996185303,-113.702,45.005
1981,8,"Astragalus_scaphoides_2","Haynes Creek",20,6.48999977111816,-113.702,45.005
1981,9,"Astragalus_scaphoides_2","Haynes Creek",14.0249996185303,14.2799997329712,-113.702,45.005
1981,10,"Astragalus_scaphoides_2","Haynes Creek",5.69999980926514,17.4200000762939,-113.702,45.005
1981,11,"Astragalus_scaphoides_2","Haynes Creek",0.809999942779541,37.1199989318848,-113.702,45.005
1981,12,"Astragalus_scaphoides_2","Haynes Creek",-4.42999982833862,43.4599990844727,-113.702,45.005
1982,1,"Astragalus_scaphoides_2","Haynes Creek",-7.59500026702881,28.7600002288818,-113.702,45.005
1982,2,"Astragalus_scaphoides_2","Haynes Creek",-6.84499979019165,17.9699993133545,-113.702,45.005
1982,3,"Astragalus_scaphoides_2","Haynes Creek",0.850000143051147,41.5099983215332,-113.702,45.005
1982,4,"Astragalus_scaphoides_2","Haynes Creek",1.9850001335144,38.6300010681152,-113.702,45.005
1982,5,"Astragalus_scaphoides_2","Haynes Creek",8.36499977111816,47.2900009155273,-113.702,45.005
1982,6,"Astragalus_scaphoides_2","Haynes Creek",13.5600004196167,40.8300018310547,-113.702,45.005
